asset_id,title,category,filename,goal,dims,webp_kb
BM-ASM-001,Toasted Brioche Bottom Bun,assembly,BM-ASM-001-toasted-brioche-bottom-bun.webp,Recognize the toasted brioche foundation,1440x2560,228
BM-ASM-002,Toasted Potato Bottom Bun,assembly,BM-ASM-002-toasted-potato-bottom-bun.webp,Recognize the toasted potato bun foundation,1440x2560,198
BM-ASM-003,Correct Butter Coverage,assembly,BM-ASM-003-correct-butter-coverage.webp,Apply even butter coverage after toasting,1440x2560,230
BM-ASM-004,Golden Toast Comparison,assembly,BM-ASM-004-golden-toast-comparison.webp,Recognize perfect golden toast vs under and over,1440x2560,372
BM-ASM-005,Under-Toasted Bun,assembly,BM-ASM-005-under-toasted-bun.webp,Recognize an under-toasted bun,1440x2560,160
BM-ASM-006,Over-Toasted Bun,assembly,BM-ASM-006-over-toasted-bun.webp,Recognize an over-toasted bun,1440x2560,252
BM-ASM-007,Toasted Surface Macro,assembly,BM-ASM-007-toasted-surface-macro.webp,Checkpoint for ideal toasted surface texture,1440x2560,270
BM-ASM-008,Bottom Bun Ready,assembly,BM-ASM-008-bottom-bun-ready.webp,The foundation ready for assembly,1440x2560,193
BM-ASM-009,Correct Mayonnaise Spread,assembly,BM-ASM-009-correct-mayonnaise-spread.webp,Apply mayonnaise correctly,1440x2560,179
BM-ASM-010,Correct Burger Sauce Spread,assembly,BM-ASM-010-correct-burger-sauce-spread.webp,Apply burger sauce correctly,1440x2560,171
BM-ASM-011,Correct Mustard Spread,assembly,BM-ASM-011-correct-mustard-spread.webp,Apply mustard correctly,1440x2560,255
BM-ASM-012,Correct Ketchup Spread,assembly,BM-ASM-012-correct-ketchup-spread.webp,Apply ketchup correctly,1440x2560,203
BM-ASM-013,Too Much Sauce,assembly,BM-ASM-013-too-much-sauce.webp,Recognize excessive sauce,1440x2560,185
BM-ASM-014,Too Little Sauce,assembly,BM-ASM-014-too-little-sauce.webp,Recognize insufficient sauce,1440x2560,223
BM-ASM-015,Even Sauce Coverage Macro,assembly,BM-ASM-015-even-sauce-coverage-macro.webp,Checkpoint for even sauce coverage,1440x2560,110
BM-ASM-016,Sauced Bun Ready,assembly,BM-ASM-016-sauced-bun-ready.webp,Sauced base ready for toppings,1440x2560,200
BM-ASM-017,Correct Lettuce Placement,assembly,BM-ASM-017-correct-lettuce-placement.webp,Place lettuce correctly,1440x2560,241
BM-ASM-018,Correct Tomato Placement,assembly,BM-ASM-018-correct-tomato-placement.webp,Place tomato correctly,1440x2560,276
BM-ASM-019,Correct Onion Placement,assembly,BM-ASM-019-correct-onion-placement.webp,Place onion correctly,1440x2560,220
BM-ASM-020,Correct Pickle Placement,assembly,BM-ASM-020-correct-pickle-placement.webp,Place pickles correctly,1440x2560,230
BM-ASM-021,Complete Vegetable Stack,assembly,BM-ASM-021-complete-vegetable-stack.webp,The complete vegetable foundation,1440x2560,220
BM-ASM-022,Uneven Vegetable Stack,assembly,BM-ASM-022-uneven-vegetable-stack.webp,Recognize an uneven stack,1440x2560,229
